Miesieczne [brutto];Roczne [brutto];Roczne [netto]
1000;12000;9 629
1500;18000;14 134
2000;24000;18 845
2500;30000;23 557
3000;36000;28 268
3500;42000;32 428
4000;48000;36 263
4500;54000;40 086
5000;60000;43 922
5500;66000;47 757
6000;72000;51 833
6500;78000;56 064
7000;84000;60 296
7500;90000;64 527
8000;96000;68 758
8500;102000;72 990
9000;108000;76 478
9500;114000;79 888
10000;120000;83 343
10500;126000;86 757
11000;132000;90 210
11500;138000;93 735
12000;144000;97 369
12500;150000;100 539
13000;156000;103 475
13500;162000;106 534
14000;168000;109 592
14500;174000;112 640
15000;180000;115 853
15500;186000;119 310
16000;192000;122 759
16500;198000;126 214
17000;204000;129 670
17500;210000;133 117
18000;216000;136 575
18500;222000;140 030
19000;228000;143 479
19500;234000;146 934
20000;240000;150 391
20500;246000;153 841
21000;252000;157 292
21500;258000;160 751
22000;264000;164 198
22500;270000;167 654
23000;276000;171 108
23500;282000;174 559
24000;288000;178 013
24500;294000;181 470
25000;300000;184 919
25500;306000;188 374
26000;312000;191 830
26500;318000;195 281
27000;324000;198 737
27500;330000;202 186
28000;336000;205 642
28500;342000;209 090
29000;348000;212 543
29500;354000;215 997
30000;360000;219 453
